doi,pub_date,filename,file_format,num_bytes,total_downloads
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-full.tar.gz,application/x-gzip,16989300,448
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-clad.tar.gz,application/x-gzip,112685043,473
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-rand.tar.gz,application/x-gzip,285639773,433
10.13012/B2IDB-7735354_V1,2017-09-19,README.txt,text/plain,1831,282
10.13012/B2IDB-2031816_V2,2017-09-06,Busycon_spire_angles_for_Data_Bank.xlsx,application/vnd.ms-excel,54377,255
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_bull_file.csv,text/csv,57088,399
10.13012/B2IDB-3175716_V1,2017-10-11,license.txt,text/plain,221,283
10.13012/B2IDB-3175716_V1,2017-10-11,Registry.csv,text/csv,879229,415
10.13012/B2IDB-3175716_V1,2017-10-11,topogrhy.csv,text/csv,8092,334
10.13012/B2IDB-3175716_V1,2017-10-11,MORPH_DX.csv,text/csv,11335,415
10.13012/B2IDB-3175716_V1,2017-10-11,procedure.csv,text/csv,1578,366
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_cats_of_registry.csv,text/csv,499,346
10.13012/B2IDB-3175716_V1,2017-10-11,us_state.csv,text/csv,772,346
10.13012/B2IDB-3175716_V1,2017-10-11,ETIOL_DX.csv,text/csv,4536,388
10.13012/B2IDB-3175716_V1,2017-10-11,McEntee_coll_metadata.xml,text/xml,27566,375
10.13012/B2IDB-3175716_V1,2017-10-11,IRRP_ReadMe_2017-10-11.txt,text/plain,4591,302
10.13012/B2IDB-3175716_V1,2017-10-11,specie.csv,text/csv,125,394
10.13012/B2IDB-3175716_V1,2017-10-11,rr1.csv,text/csv,139181,375
10.13012/B2IDB-3175716_V1,2017-10-11,Sorted_bulls_w_dx.csv,text/csv,68899,399
10.13012/B2IDB-3175716_V1,2017-10-11,BREEDS.csv,text/csv,8995,355
10.13012/B2IDB-3175716_V1,2017-10-11,COUNTYS.csv,text/csv,790,407
10.13012/B2IDB-3175716_V1,2017-10-11,ALL_DOGS.csv,text/csv,273620,396
10.13012/B2IDB-3175716_V1,2017-10-11,COUNTRYS.csv,text/csv,571,408
10.13012/B2IDB-3175716_V1,2017-10-11,sources.csv,text/csv,814,386
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_registry_dogs.csv,text/csv,3261,402
10.13012/B2IDB-3175716_V1,2017-10-11,FoxPro_Registry.xlsx,application/vnd.ms-excel,2733137,395
10.13012/B2IDB-3175716_V1,2017-10-11,CODES.csv,text/csv,1059960,412
10.13012/B2IDB-3175716_V1,2017-10-11,sp_breed.csv,text/csv,334755,409
10.13012/B2IDB-1752285_V1,2016-12-12,WaxLake_Currents_Data_2012-2013.zip,application/zip,2402650,297
10.13012/B2IDB-1001307_V1,2016-12-12,WaxLake_Bathymetry_Data_late2012.zip,application/zip,5507192,360
10.13012/B2IDB-4810873_V1,2016-12-12,WaxLake_Bathymetry_Data_2012-12-01.zip,application/zip,11630445,396
10.13012/B2IDB-4871125_V1,2016-12-12,public_agency_data.zip,application/zip,2390668953,256
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_beast_brueelia.tre,text/plain,313976,374
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_brueelia.tre,text/plain,10818,340
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_brueelia_hosts.tre,text/plain,123061,364
10.13012/B2IDB-2011663_V1,2018-01-03,concatenated_alignment_brueelia.nex,text/plain,597939,328
10.13012/B2IDB-2011663_V1,2018-01-03,random100_trees_brueelia.tre,text/plain,1788446,230
10.13012/B2IDB-2011663_V1,2018-01-03,consensus_tree_brueelia.tre,text/plain,212891,385
10.13012/B2IDB-2011663_V1,2018-01-03,beast_100random_trees_brueelia.tre,text/plain,1981557,371
10.13012/B2IDB-2011663_V1,2018-01-03,beast_parameters_coi_brueelia.xml,text/xml,198356,316
10.13012/B2IDB-1968634_V1,2016-05-26,ReadMe.txt,text/plain,3000,330
10.13012/B2IDB-1968634_V1,2016-05-26,Tracy_CRLPublishingUsersData.csv,text/csv,102845,323
10.13012/B2IDB-6534803_V1,2017-02-21,16IL004_C8BYLANXX_s_4.fastq.txt.gz,application/x-gzip,14113076307,384
10.13012/B2IDB-6534803_V1,2017-02-21,16IL006_C8BYLANXX_s_6.fastq.txt.gz,application/x-gzip,13469017121,372
10.13012/B2IDB-6534803_V1,2017-02-21,15IL010_C820YANXX_s_1_fastq.txt.gz,application/x-gzip,17037045767,275
10.13012/B2IDB-6534803_V1,2017-02-21,16IL001_C8BYLANXX_s_1.fastq.txt.gz,application/x-gzip,13370567166,390
10.13012/B2IDB-6534803_V1,2017-02-21,15IL009_C7U9MANXX_s_3_fastq.txt.gz,application/x-gzip,16111701551,400
10.13012/B2IDB-6534803_V1,2017-02-21,16IL005_C8BYLANXX_s_5.fastq.txt.gz,application/x-gzip,14267920308,366
10.13012/B2IDB-0341890_V1,2017-03-02,PrevspostWRvsSF.xls,application/vnd.ms-excel,141824,482
10.13012/B2IDB-0341890_V1,2017-03-02,04_through_10capturehistoriesSFNFWRNWR.txt,text/plain,26656,329
10.13012/B2IDB-0341890_V1,2017-03-02,Meta_Data_for_SWWA_Survival_and_Body_Condition.docx,application/msword,15656,436
10.13012/B2IDB-4912922_V2,2017-03-07,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,476
10.13012/B2IDB-4912922_V2,2017-03-07,Code.zip,application/zip,199824304,324
10.13012/B2IDB-2436375_V1,2017-12-12,WAVCIS_data.zip,application/zip,4991443,298
10.13012/B2IDB-3764213_V1,2016-12-12,waxlake-lidar.img,application/octet-stream,157053493,437
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment2_round10.bam,application/x-gzip,132873143,487
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment4_round10.bam,application/x-gzip,672242515,477
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment1_round5.bam,application/x-gzip,169057625,500
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round5.bam,application/x-gzip,531790340,493
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round10.bam,application/x-gzip,339816731,360
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment3_round10.bam,application/x-gzip,664296341,487
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round10.bam,application/x-gzip,247742602,375
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment3_round5.bam,application/x-gzip,327201082,378
10.13012/B2IDB-3958294_V1,2016-12-13,founder.bam,application/x-gzip,115115517,504
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round15.bam,application/x-gzip,461308907,480
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round15.bam,application/x-gzip,400929570,467
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round5.bam,application/x-gzip,699990786,428
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment2_round5.bam,application/x-gzip,137580058,380
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round5.bam,application/x-gzip,934728347,618
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round10.bam,application/x-gzip,1288521087,477
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round15.bam,application/x-gzip,786699774,480
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round10.bam,application/x-gzip,109640313,455
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment1_round10.bam,application/x-gzip,420374962,476
10.13012/B2IDB-3958294_V1,2016-12-13,evolved_liquidculture24h.bam,application/x-gzip,308398706,461
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment4_round5.bam,application/x-gzip,764838403,465
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round5.bam,application/x-gzip,283519817,348
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round15.bam,application/x-gzip,284576619,460
10.13012/B2IDB-8503612_V1,2017-11-15,Austin_Water_Withdrawal_2000_2014.csv,text/csv,12049,271
10.13012/B2IDB-2204122_V1,2017-02-21,16IL007_C8BYLANXX_s_7.fastq.txt.gz,application/x-gzip,13545998422,450
10.13012/B2IDB-2204122_V1,2017-02-21,16IL002_C8BYLANXX_s_2.fastq.txt.gz,application/x-gzip,11889626226,471
10.13012/B2IDB-2204122_V1,2017-02-21,16IL003_C8BYLANXX_s_3.fastq.txt.gz,application/x-gzip,13332071483,336
10.13012/B2IDB-9706842_V1,2017-05-22,README.txt,text/plain,1797,298
10.13012/B2IDB-9706842_V1,2017-05-22,Nelson_2017_Functional_Ecology_Invertebrates.csv,text/csv,2121,226
10.13012/B2IDB-9706842_V1,2017-05-22,Nelson_2017_Functional_Ecology_Fish_Growth.csv,text/csv,3002,245
10.13012/B2IDB-2059727_V1,2017-06-16,Table_S1.csv,text/csv,22085,287
10.13012/B2IDB-0410446_V1,2017-09-22,MS1820_supplementary_appendices_FINAL.pdf,application/pdf,391127,237
10.13012/B2IDB-9511904_V1,2016-12-18,model_datasets.zip,application/zip,1929622280,270
10.13012/B2IDB-9511904_V1,2016-12-18,Readme.pdf,application/pdf,123545,402
10.13012/B2IDB-1513733_V2,2017-12-15,Smith_DairyCoinfection_Readme20171214_v2.txt,text/plain,11022,283
10.13012/B2IDB-1513733_V2,2017-12-15,ProductionResultsAfter.csv,text/csv,16122,360
10.13012/B2IDB-1513733_V2,2017-12-15,ProductionResultsBefore.csv,text/csv,16445,333
10.13012/B2IDB-1513733_V2,2017-12-15,DiagnosticResultsAll.csv,text/csv,28512,393
10.13012/B2IDB-3661776_V2,2017-12-04,prices.csv,text/csv,494,385
10.13012/B2IDB-3661776_V2,2017-12-04,readme.txt,text/plain,4572,249
10.13012/B2IDB-3661776_V2,2017-12-04,genotypes.csv,text/csv,35384,368
10.13012/B2IDB-3661776_V2,2017-12-04,structureResults.csv,text/csv,20378,401
10.13012/B2IDB-4912922_V1,2017-03-07,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,235
10.13012/B2IDB-6946735_V2,2017-03-08,4D.czi,application/octet-stream,188530720,383
10.13012/B2IDB-6946735_V2,2017-03-08,1_cell.czi,application/octet-stream,91565696,367
10.13012/B2IDB-6946735_V2,2017-03-08,4E.czi,application/octet-stream,182732128,419
10.13012/B2IDB-6946735_V2,2017-03-08,5A.czi,application/octet-stream,456223680,385
10.13012/B2IDB-6946735_V2,2017-03-08,5B.czi,application/octet-stream,194886528,338
10.13012/B2IDB-6946735_V2,2017-03-08,6A.czi,application/octet-stream,456223680,398
10.13012/B2IDB-6946735_V2,2017-03-08,6B1.czi,application/octet-stream,182731808,373
10.13012/B2IDB-6946735_V2,2017-03-08,6B2.czi,application/octet-stream,182731008,414
10.13012/B2IDB-6946735_V2,2017-03-08,6C1.czi,application/octet-stream,182730592,364
10.13012/B2IDB-6946735_V2,2017-03-08,6C3.czi,application/octet-stream,182730496,396
10.13012/B2IDB-6946735_V2,2017-03-08,5_cell.czi,application/octet-stream,91564384,397
10.13012/B2IDB-6946735_V2,2017-03-08,7_cell.czi,application/octet-stream,91563808,383
10.13012/B2IDB-6946735_V2,2017-03-08,8_cell.czi,application/octet-stream,91564480,446
10.13012/B2IDB-6946735_V2,2017-03-08,MP_FP.czi,application/octet-stream,91565376,385
10.13012/B2IDB-6946735_V2,2017-03-08,6C2.czi,application/octet-stream,182732608,335
10.13012/B2IDB-6946735_V2,2017-03-08,4_cell.czi,application/octet-stream,91564768,326
10.13012/B2IDB-6946735_V2,2017-03-08,2_cell.czi,application/octet-stream,91565920,363
10.13012/B2IDB-6946735_V2,2017-03-08,readme.txt,text/plain,2120,327
10.13012/B2IDB-6946735_V2,2017-03-08,3_cell.czi,application/octet-stream,91564160,389
10.13012/B2IDB-6946735_V2,2017-03-08,gastrula.czi,application/octet-stream,94608960,365
10.13012/B2IDB-6946735_V2,2017-03-08,tadpole.czi,application/octet-stream,152340384,393
10.13012/B2IDB-6946735_V2,2017-03-08,J1.czi,application/octet-stream,310357120,404
10.13012/B2IDB-6946735_V2,2017-03-08,J2.czi,application/octet-stream,94602144,374
10.13012/B2IDB-6946735_V2,2017-03-08,4A.czi,application/octet-stream,310357344,384
10.13012/B2IDB-6946735_V2,2017-03-08,4B.czi,application/octet-stream,182454944,341
10.13012/B2IDB-6946735_V2,2017-03-08,4C.czi,application/octet-stream,310362176,405
10.13012/B2IDB-0024113_V1,2018-12-13,land_cover_classification.zip,application/zip,483320914,206
10.13012/B2IDB-2211060_V2,2020-03-13,Cocol_atram_mitobim.fasta,text/plain,56708,90
10.13012/B2IDB-2211060_V2,2020-03-13,CocolColiv_voucher.jpg,image/jpeg,9584843,86
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_contigs.fasta,text/plain,20216,85
10.13012/B2IDB-2211060_V2,2020-03-13,Copas2_atram_mitobim.fasta,text/plain,22624,82
10.13012/B2IDB-2211060_V2,2020-03-13,Copas2_de_novo.fasta,text/plain,13447,89
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae2_edge_starting_seeds.zip,application/zip,14078,84
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_macrourae_edge_starting_seeds.zip,application/zip,6466,89
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_denovo.fasta,text/plain,14095,83
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_columbae_mt_sequences.fasta,text/plain,30766,86
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae1_mt_sequences.fasta,text/plain,34701,82
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_columbae_edge_starting_seeds.zip,application/zip,7247,86
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae1_edge_starting_seeds.zip,application/zip,6386,82
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae2_mt_sequences.fasta,text/plain,36527,84
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_macrourae_mt_sequences.fasta,text/plain,33604,83
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_mapped.zip,application/zip,23874,79
10.13012/B2IDB-2211060_V2,2020-03-13,Comac3_atram_mitobim.fasta,text/plain,22542,80
10.13012/B2IDB-2211060_V2,2020-03-13,Copas1_atram_mitobim.fasta,text/plain,20024,89
10.13012/B2IDB-2211060_V2,2020-03-13,readme.txt,text/plain,3238,97
10.13012/B2IDB-5495131_V1,2016-12-19,modules_bymonth.ods,application/vnd.oasis.opendocument.spreadsheet,7764,387
10.13012/B2IDB-5495131_V1,2016-12-19,General_Stats_iOS_Android_ModuleHits.ods,application/vnd.oasis.opendocument.spreadsheet,3532,347
10.13012/B2IDB-5495131_V1,2016-12-19,paths_to_month_cleaned_filtered.ods,application/vnd.oasis.opendocument.spreadsheet,1482590,583
10.13012/B2IDB-5495131_V1,2016-12-19,Readme.txt,text/plain,1578,387
10.13012/B2IDB-6946735_V1,2017-01-06,7_cell.czi,application/octet-stream,91563808,287
10.13012/B2IDB-6946735_V1,2017-01-06,3_cell.czi,application/octet-stream,91564160,243
10.13012/B2IDB-6946735_V1,2017-01-06,4A.czi,application/octet-stream,310357344,197
10.13012/B2IDB-6946735_V1,2017-01-06,6C3.czi,application/octet-stream,182730496,233
10.13012/B2IDB-6946735_V1,2017-01-06,8_cell.czi,application/octet-stream,91564480,292
10.13012/B2IDB-6946735_V1,2017-01-06,5_cell.czi,application/octet-stream,91564384,348
10.13012/B2IDB-6946735_V1,2017-01-06,J1.czi,application/octet-stream,310357120,305
10.13012/B2IDB-6946735_V1,2017-01-06,MP_FP.czi,application/octet-stream,91565376,203
